country,type,details,month,year,number,first,last
Finland,Speciality,SURGERY,december,2007,8367,8,7
Finland,Speciality,OPHTHALMOLOGY,december,2007,2783,2,3
Finland,Speciality,OTORHINOLARYNGOLOGY,december,2007,2247,2,7
Finland,Speciality,INTERNAL MEDICINE,december,2007,2193,2,3
Finland,Speciality,NEUROLOGY,december,2007,940,9,0
Finland,Speciality,OTHER,december,2007,880,8,0
Finland,Speciality,ORAL AND MAXILLOFACIAL SURGERY,december,2007,480,4,0
Finland,Speciality,DERMATOLOGY AND VENEREOLOGY,december,2007,475,4,5
Finland,Speciality,OBSTETRICS AND GYNAECOLOGY,december,2007,1169,1,9
Finland,Speciality,RESPIRATORY MEDICINE,december,2007,696,6,6
Finland,Speciality,PAEDIATRICS,december,2007,540,5,0
Finland,Speciality,NEUROSURGERY,december,2007,129,1,9
Finland,Speciality,PSYCHIATRY,december,2007,193,1,3
Finland,Speciality,ANAESTHESIOLOGY,december,2007,102,1,2
Finland,Speciality,ADOLESCENT AND CHILD PSYCHIATRY,december,2007,88,8,8
Finland,Speciality,CHILD NEUROLOGY,december,2007,122,1,2
Finland,Speciality,PHONIATRICS,december,2007,48,4,8
Finland,Speciality,ONCOLOGY AND RADIOLOGY,december,2007,40,4,0
Finland,Process,Orthopaedics,december,2007,4282,4,2
Finland,Process,Hand surgery,december,2007,587,5,7
Finland,Process,Surgery,december,2007,1339,1,9
Finland,Process,Gastroenterological surgery,december,2007,551,5,1
Finland,Process,Urology,december,2007,578,5,8
Finland,Process,Vascular surgery,december,2007,410,4,0
Finland,Process,Plastic surgery,december,2007,263,2,3
Finland,Process,Paediatric surgery,december,2007,191,1,1
Finland,Process,General surgery,december,2007,161,1,1
Finland,Process,Cardiothoracic surgery,december,2007,5,5,5
Finland,Internal.medic,Cardiology,december,2007,565,5,5
Finland,Internal.medic,Internal medicine,december,2007,982,9,2
Finland,Internal.medic,Gastroenterology (internal medicine),december,2007,257,2,7
